Generation,BestFitness,AvgFitness,MinFitness,StdDev,SpeciesCount,Duration(s),Timestamp
1,31.520069360733032,14.779394583702087,2.7547905445098877,7.675610385083307,50,0,2025-12-19T15:05:09.170893
2,29.766835927963257,13.737434115409851,1.3442232608795166,8.115244241570334,50,187.28291034698486,2025-12-19T15:08:26.308290
3,31.5674729347229,13.000666117668152,2.6968674659729004,7.528797167137711,50,197.10359621047974,2025-12-19T15:11:30.208344
4,31.551258325576782,13.522803783416748,1.4495632648468018,7.1230613829518115,50,183.93579936027527,2025-12-19T15:14:27.042277
5,31.588571310043335,13.436372833251953,2.6984524726867676,7.7870479288539265,50,176.8165533542633,2025-12-19T15:17:29.476700
6,29.763153076171875,15.352237195968629,1.4774329662322998,7.717893780111455,50,182.44155979156494,2025-12-19T15:20:51.784995
7,29.65085458755493,15.653249802589416,2.702383041381836,7.2846702296548145,50,202.30418038368225,2025-12-19T15:24:22.303951
8,31.533557176589966,14.382716331481934,2.7547404766082764,7.7628864237164805,50,210.51411843299866,2025-12-19T15:27:36.098170
9,30.552599668502808,12.866948480606078,1.4230756759643555,8.243405057455192,50,193.7966639995575,2025-12-19T15:30:38.146714
