Generation,BestFitness,AvgFitness,MinFitness,StdDev,SpeciesCount,Duration(s),Timestamp
1,20.019723892211914,4.935876448949178,0.0,5.792400044697038,30,0,2025-12-19T16:46:55.912217
2,12.004456996917725,4.801705145835877,0.0010004043579101562,5.15354473233212,30,0.10410928726196289,2025-12-19T16:46:55.988840
3,12.003660917282104,6.934920032819112,0.0009996891021728516,4.946090714734057,30,0.08302736282348633,2025-12-19T16:46:56.067172
4,20.016234397888184,6.2017500638961796,0.0,5.595328862373653,30,0.07696223258972168,2025-12-19T16:46:56.152540
5,12.004518508911133,4.20219255288442,0.0010058879852294922,5.173114092059852,30,0.08151483535766602,2025-12-19T16:46:56.242900
6,20.017560958862305,6.068795522054036,0.00099945068359375,5.598510003138564,30,0.09145665168762207,2025-12-19T16:46:56.332919
7,12.00257396697998,5.068016537030538,0.0,5.0791812062680775,30,0.09682583808898926,2025-12-19T16:46:56.405911
8,10.002264499664307,5.6682062228520715,0.0009832382202148438,4.95511645653392,30,0.06469035148620605,2025-12-19T16:46:56.477225
9,12.00502347946167,7.935114439328512,0.0010106563568115234,4.426660988081166,30,0.0738976001739502,2025-12-19T16:46:56.561451
10,12.004554986953735,4.401911624272665,0.0009834766387939453,5.0438014877284445,30,0.08341145515441895,2025-12-19T16:46:56.646735
11,12.005058526992798,5.468114900588989,0.0,5.1366385622647845,30,0.08965873718261719,2025-12-19T16:46:56.725139
12,12.006348371505737,4.20175937016805,0.0,5.173600659360615,30,0.072784423828125,2025-12-19T16:46:56.805182
13,12.00409197807312,6.068152085940043,0.0009822845458984375,4.966010017975511,30,0.08739995956420898,2025-12-19T16:46:56.889684
14,10.004027843475342,4.668264404932658,0.0009951591491699219,4.98884196072337,30,0.08249139785766602,2025-12-19T16:46:56.971700
15,12.003007650375366,5.13509430885315,0.001008749008178711,5.024733996051282,30,0.08277654647827148,2025-12-19T16:46:57.058944
16,12.005009889602661,6.468478210767111,0.0010006427764892578,4.9449268304725535,30,0.08318114280700684,2025-12-19T16:46:57.146181
17,10.002514123916626,4.00158101717631,0.0,4.898896906968024,30,0.07687807083129883,2025-12-19T16:46:57.211893
18,12.004687309265137,6.402525488535563,0.0009999275207519531,4.909999649680287,30,0.0736083984375,2025-12-19T16:46:57.316981
19,12.003536462783813,4.401429994901021,0.0,5.043955546419999,30,0.10538840293884277,2025-12-19T16:46:57.389686
20,12.005680799484253,5.335028139750163,0.0,5.249554860661336,30,0.07798981666564941,2025-12-19T16:46:57.472314
21,12.00451135635376,4.734884881973267,0.0009925365447998047,5.072523159633275,30,0.08103609085083008,2025-12-19T16:46:57.553713
22,14.014541625976562,6.001919794082641,0.0,5.19040294870653,30,0.08572816848754883,2025-12-19T16:46:57.639697
23,12.006460428237915,3.9355523029963178,0.0,5.202814207747639,30,0.07530903816223145,2025-12-19T16:46:57.731488
24,12.004004955291748,4.401880494753519,0.0,5.043724987099264,30,0.0931692123413086,2025-12-19T16:46:57.815112
25,20.019883394241333,6.802211046218872,0.0,5.4813314158716935,30,0.09106135368347168,2025-12-19T16:46:57.913927
26,12.002949476242065,4.73499485651652,0.0,5.072124987515286,30,0.10019254684448242,2025-12-19T16:46:58.004623
27,12.004676342010498,5.068012022972107,0.0,5.078946838477421,30,0.08212089538574219,2025-12-19T16:46:58.075110
28,12.003518342971802,4.468215799331665,0.0,5.129918248697775,30,0.07530593872070312,2025-12-19T16:46:58.160519
29,12.004697799682617,6.735084168116251,0.0,5.176910418917708,30,0.08358287811279297,2025-12-19T16:46:58.245080
30,12.002913236618042,5.20151838461558,0.0,5.101688286145683,30,0.07820725440979004,2025-12-19T16:46:58.316099
31,12.004097700119019,5.335252690315246,0.0005106925964355469,5.37511300357622,30,0.06994247436523438,2025-12-19T16:46:58.398961
32,12.002681255340576,4.467893894513448,0.0,5.12994835368361,30,0.08604836463928223,2025-12-19T16:46:58.464051
33,12.00400161743164,5.201283955574036,0.0,5.230811629774391,30,0.06561160087585449,2025-12-19T16:46:58.528954
