Generation,BestFitness,AvgFitness,MinFitness,StdDev,SpeciesCount,Duration(s),Timestamp
1,12.005398273468018,4.53540678024292,0.0005879402160644531,5.084314992257462,30,0,2025-12-19T16:54:41.882815
2,12.006556034088135,6.335337400436401,0.0008618831634521484,5.218053202016824,30,0.10395288467407227,2025-12-19T16:54:41.976384
3,12.003636837005615,5.468360257148743,0.00043511390686035156,5.13630529640501,30,0.0885920524597168,2025-12-19T16:54:42.056821
4,12.005782127380371,6.535289883613586,0.0009777545928955078,5.005016714371987,30,0.07808208465576172,2025-12-19T16:54:42.141116
5,10.004015922546387,5.334726889928182,0.0,4.988850143219976,30,0.09228682518005371,2025-12-19T16:54:42.214145
6,12.003482580184937,4.26849889755249,0.0004475116729736328,5.131206920458932,30,0.06480693817138672,2025-12-19T16:54:42.297668
7,20.025020837783813,5.802798024813334,0.0005929470062255859,5.7137718616896285,30,0.07883596420288086,2025-12-19T16:54:42.406988
8,12.004099369049072,5.268411684036255,0.0,5.1768727745273715,30,0.11136794090270996,2025-12-19T16:54:42.485672
9,12.006146430969238,5.135178097089132,0.0,5.156117217918052,30,0.08386039733886719,2025-12-19T16:54:42.573067
10,12.0040922164917,5.201796658833822,0.0,5.230843994705405,30,0.07989764213562012,2025-12-19T16:54:42.652422
11,20.02060031890869,6.802024960517883,0.0,5.481401724340455,30,0.08443498611450195,2025-12-19T16:54:42.743743
12,12.004166841506958,6.135183628400167,0.0009150505065917969,5.031853197206268,30,0.09010028839111328,2025-12-19T16:54:42.825728
13,12.005346536636353,4.134791207313538,0.0,5.084248786871474,30,0.08455657958984375,2025-12-19T16:54:42.902439
14,12.004852294921875,4.601767571767171,0.0,5.295587744581095,30,0.07581782341003418,2025-12-19T16:54:42.987182
15,12.004612684249878,5.934608292579651,0.0,5.227854527418775,30,0.09136509895324707,2025-12-19T16:54:43.068517
16,12.002722263336182,6.5344619433085125,0.0,5.004735070226753,30,0.0702962875366211,2025-12-19T16:54:43.126268
17,14.006676197052002,7.335092886288961,0.0,4.742312788794482,30,0.06187868118286133,2025-12-19T16:54:43.211328
18,12.003001928329468,5.067920716603597,0.0,5.079163672854271,30,0.09219813346862793,2025-12-19T16:54:43.286994
19,12.004751205444336,7.001528040568034,0.0,5.000363610735986,30,0.06688737869262695,2025-12-19T16:54:43.364774
20,12.003515005111694,4.534916003545125,0.0,5.213858963096331,30,0.07792472839355469,2025-12-19T16:54:43.442306
21,12.002722978591919,5.068007667859395,0.0,5.07901770092871,30,0.07627320289611816,2025-12-19T16:54:43.510529
22,12.005509376525879,4.268420219421387,0.0,5.1314624139193725,30,0.06536221504211426,2025-12-19T16:54:43.589641
23,12.003512144088745,5.201379052797953,0.0,5.101732790390502,30,0.07906389236450195,2025-12-19T16:54:43.656619
24,12.00251317024231,5.534681145350138,0.0,5.077828683173803,30,0.07361745834350586,2025-12-19T16:54:43.730771
25,12.003631353378296,6.268018484115601,0.0,5.157429663582906,30,0.06995820999145508,2025-12-19T16:54:43.799778
26,12.006190299987793,5.267926208178202,0.0,5.17666675783049,30,0.08213376998901367,2025-12-19T16:54:43.879154
27,12.002068519592285,4.867413552602132,0.0,5.233052864958775,30,0.06991124153137207,2025-12-19T16:54:43.935756
28,14.01015329360962,5.801825253168742,0.0,5.498648677277841,30,0.05383133888244629,2025-12-19T16:54:44.018165
29,12.005288362503052,4.534727986653646,0.0,5.084295396699371,30,0.07985281944274902,2025-12-19T16:54:44.086242
30,12.005004405975342,5.467796405156453,0.0,5.136416579749324,30,0.07002520561218262,2025-12-19T16:54:44.145958
31,10.002018928527832,5.001221617062886,0.0,4.99968283695726,30,0.05884408950805664,2025-12-19T16:54:44.210503
32,14.006546020507812,5.401861826578776,0.00099945068359375,5.468885332313577,30,0.15639591217041016,2025-12-19T16:54:44.388660
33,12.005606651306152,4.534589052200317,0.0,5.084406590581742,30,0.07262206077575684,2025-12-19T16:54:44.444008
34,12.002002716064453,6.26780461470286,0.0,5.025986800525389,30,0.07000184059143066,2025-12-19T16:54:44.509546
35,10.001599550247192,5.401349679629008,0.0009355545043945312,4.929754651345404,30,0.05984663963317871,2025-12-19T16:54:44.575851
36,12.00359296798706,4.267796993255615,0.0,5.131229866885829,30,0.07022356986999512,2025-12-19T16:54:44.637747
37,12.006024599075317,6.267969115575155,0.0,5.15743755548508,30,0.05800604820251465,2025-12-19T16:54:44.705590
38,12.004605531692505,6.9350003163019815,0.0,5.2089785469046275,30,0.06722164154052734,2025-12-19T16:54:44.784750
39,12.002008199691772,4.067941975593567,0.0,4.992969329467282,30,0.08257246017456055,2025-12-19T16:54:44.851815
40,12.003520250320435,5.534629154205322,0.0,5.207364900252228,30,0.06295347213745117,2025-12-19T16:54:44.917032
41,12.003982543945312,5.3349621295928955,0.0,5.120802050377325,30,0.06928467750549316,2025-12-19T16:54:44.995447
42,12.005206108093262,6.4014074881871545,0.0,5.276776632523051,30,0.08167433738708496,2025-12-19T16:54:45.067327
43,12.009387493133545,5.267783037821451,0.0,5.177052218813526,30,0.07121992111206055,2025-12-19T16:54:45.129616
44,12.003643274307251,5.134811449050903,0.0,5.530203302237749,30,0.05788874626159668,2025-12-19T16:54:45.200272
45,12.00331449508667,3.8013336102167767,0.0,4.881176929306294,30,0.06720232963562012,2025-12-19T16:54:45.262919
46,12.003005027770996,4.134368451436361,0.0,5.08416626228277,30,0.06418585777282715,2025-12-19T16:54:45.320382
47,12.003005027770996,6.267494106292725,0.0,5.157166441976264,30,0.057491302490234375,2025-12-19T16:54:45.372139
48,12.0035080909729,4.601405286788941,0.0,5.1677679878426925,30,0.052822113037109375,2025-12-19T16:54:45.441811
49,12.002002716064453,4.800943740208944,0.0,5.153609470304116,30,0.06810140609741211,2025-12-19T16:54:45.500569
50,12.000999689102173,5.800899457931519,0.0,5.095021454658154,30,0.05753827095031738,2025-12-19T16:54:45.556281
