Generation,GenomeID,Fitness,Nodes,Connections,Timestamp
1,1,12.950129270553589,3,17,2025-12-19T15:05:09.171971
1,2,2.786449432373047,3,17,2025-12-19T15:05:09.172891
1,3,12.867074251174927,3,17,2025-12-19T15:05:09.173937
1,4,12.848731517791748,3,17,2025-12-19T15:05:09.175024
1,5,2.7547905445098877,3,17,2025-12-19T15:05:09.176070
1,6,12.725660562515259,3,17,2025-12-19T15:05:09.177020
1,7,12.697172403335571,3,17,2025-12-19T15:05:09.178025
1,8,27.764408111572266,3,17,2025-12-19T15:05:09.179033
1,9,22.812553644180298,3,17,2025-12-19T15:05:09.180060
1,10,2.817925214767456,3,17,2025-12-19T15:05:09.181110
1,11,15.961281538009644,3,17,2025-12-19T15:05:09.182098
1,12,22.79676866531372,3,17,2025-12-19T15:05:09.183629
1,13,10.466666221618652,3,17,2025-12-19T15:05:09.195550
1,14,2.8883402347564697,3,17,2025-12-19T15:05:09.195550
1,15,13.045236110687256,3,17,2025-12-19T15:05:09.196563
1,16,29.728784799575806,3,17,2025-12-19T15:05:09.197565
1,17,27.288188457489014,3,17,2025-12-19T15:05:09.198562
1,18,12.832311153411865,3,17,2025-12-19T15:05:09.200074
1,19,2.886103630065918,3,17,2025-12-19T15:05:09.201090
1,20,12.799916505813599,3,17,2025-12-19T15:05:09.202089
1,21,12.83836054801941,3,17,2025-12-19T15:05:09.202089
1,22,22.72229766845703,3,17,2025-12-19T15:05:09.203598
1,23,12.809373378753662,3,17,2025-12-19T15:05:09.204625
1,24,2.9633777141571045,3,17,2025-12-19T15:05:09.205612
1,25,5.132863998413086,3,17,2025-12-19T15:05:09.206638
1,26,5.253400802612305,3,17,2025-12-19T15:05:09.207620
1,27,12.901608943939209,3,17,2025-12-19T15:05:09.209037
1,28,23.000967741012573,3,17,2025-12-19T15:05:09.209037
1,29,22.785290479660034,3,17,2025-12-19T15:05:09.210054
1,30,17.59113073348999,3,17,2025-12-19T15:05:09.211061
1,31,22.771738290786743,3,17,2025-12-19T15:05:09.211061
1,32,12.7633056640625,3,17,2025-12-19T15:05:09.212061
1,33,12.7027428150177,3,17,2025-12-19T15:05:09.212061
1,34,2.864779233932495,3,17,2025-12-19T15:05:09.213061
1,35,22.739001989364624,3,17,2025-12-19T15:05:09.214171
1,36,2.9028477668762207,3,17,2025-12-19T15:05:09.214683
1,37,12.882031679153442,3,17,2025-12-19T15:05:09.215724
1,38,19.532777547836304,3,17,2025-12-19T15:05:09.215724
1,39,22.80244731903076,3,17,2025-12-19T15:05:09.216745
1,40,15.11290192604065,3,17,2025-12-19T15:05:09.217723
1,41,22.98099970817566,3,17,2025-12-19T15:05:09.218686
1,42,31.520069360733032,3,17,2025-12-19T15:05:09.218686
1,43,22.92829203605652,3,17,2025-12-19T15:05:09.220306
1,44,12.690258979797363,3,17,2025-12-19T15:05:09.221352
1,45,12.856543064117432,3,17,2025-12-19T15:05:09.222321
1,46,15.77629566192627,3,17,2025-12-19T15:05:09.222321
1,47,15.236764192581177,3,17,2025-12-19T15:05:09.223875
1,48,15.17496395111084,3,17,2025-12-19T15:05:09.224897
1,49,11.441331148147583,3,17,2025-12-19T15:05:09.225919
1,50,19.57247257232666,3,17,2025-12-19T15:05:09.225919
2,43,12.84778094291687,3,17,2025-12-19T15:08:26.309291
2,12,12.904650211334229,3,17,2025-12-19T15:08:26.309291
2,51,22.75198245048523,3,17,2025-12-19T15:08:26.310293
2,52,12.772270917892456,4,20,2025-12-19T15:08:26.310293
2,53,12.869884252548218,3,16,2025-12-19T15:08:26.311294
2,54,12.730876922607422,4,18,2025-12-19T15:08:26.311294
2,55,2.7854726314544678,3,16,2025-12-19T15:08:26.311294
2,56,17.95867085456848,3,18,2025-12-19T15:08:26.312800
2,57,17.234967947006226,3,16,2025-12-19T15:08:26.312800
2,17,22.873603343963623,3,17,2025-12-19T15:08:26.313808
2,41,22.830124378204346,3,17,2025-12-19T15:08:26.313808
2,58,19.68421196937561,3,17,2025-12-19T15:08:26.313808
2,59,12.892895460128784,4,18,2025-12-19T15:08:26.315272
2,60,2.731814384460449,3,16,2025-12-19T15:08:26.315272
2,61,5.240644216537476,3,17,2025-12-19T15:08:26.316322
2,62,27.21326470375061,2,11,2025-12-19T15:08:26.316322
2,63,12.87704348564148,3,16,2025-12-19T15:08:26.317283
2,64,22.705925226211548,3,17,2025-12-19T15:08:26.317283
2,65,12.91440224647522,3,16,2025-12-19T15:08:26.318284
2,8,12.82179570198059,3,17,2025-12-19T15:08:26.318284
2,9,2.8249707221984863,3,17,2025-12-19T15:08:26.319279
2,66,22.95060920715332,3,16,2025-12-19T15:08:26.319279
2,67,12.88235855102539,3,17,2025-12-19T15:08:26.321411
2,68,22.699275493621826,4,18,2025-12-19T15:08:26.321411
2,69,12.711650848388672,3,17,2025-12-19T15:08:26.321411
2,70,17.18491530418396,3,17,2025-12-19T15:08:26.321411
2,71,22.822810411453247,3,17,2025-12-19T15:08:26.321411
2,72,2.807218313217163,2,11,2025-12-19T15:08:26.322918
2,73,12.782536506652832,3,16,2025-12-19T15:08:26.324003
2,74,5.131305932998657,2,10,2025-12-19T15:08:26.324003
2,16,27.12095832824707,3,17,2025-12-19T15:08:26.325012
2,28,2.8330318927764893,3,17,2025-12-19T15:08:26.325012
2,75,5.127077341079712,2,10,2025-12-19T15:08:26.326010
2,76,5.143140554428101,3,16,2025-12-19T15:08:26.326010
2,77,2.9457733631134033,3,16,2025-12-19T15:08:26.326010
2,78,5.179928541183472,3,17,2025-12-19T15:08:26.326010
2,79,17.212002515792847,2,10,2025-12-19T15:08:26.327009
2,80,12.742198705673218,3,17,2025-12-19T15:08:26.327009
2,81,7.567005157470703,3,16,2025-12-19T15:08:26.327009
2,82,5.213728666305542,3,16,2025-12-19T15:08:26.328812
2,42,19.63389778137207,3,17,2025-12-19T15:08:26.328812
2,35,22.742801189422607,3,17,2025-12-19T15:08:26.328812
2,83,2.7943763732910156,4,19,2025-12-19T15:08:26.329830
2,84,12.691221475601196,2,11,2025-12-19T15:08:26.329830
2,85,2.803135395050049,3,17,2025-12-19T15:08:26.329830
2,86,27.123679637908936,3,17,2025-12-19T15:08:26.330829
2,87,29.766835927963257,3,16,2025-12-19T15:08:26.330829
2,88,22.81544327735901,4,18,2025-12-19T15:08:26.330829
2,89,1.3442232608795166,2,11,2025-12-19T15:08:26.330829
2,90,19.63131284713745,3,16,2025-12-19T15:08:26.331831
3,51,12.716470718383789,3,17,2025-12-19T15:11:30.209373
3,56,2.8892664909362793,3,18,2025-12-19T15:11:30.211361
3,91,2.7036612033843994,3,17,2025-12-19T15:11:30.212374
3,92,12.876668214797974,3,17,2025-12-19T15:11:30.214490
3,93,12.72415041923523,3,16,2025-12-19T15:11:30.215547
3,94,12.804716348648071,3,18,2025-12-19T15:11:30.216495
3,95,12.874973058700562,3,15,2025-12-19T15:11:30.217443
3,96,17.788455486297607,3,18,2025-12-19T15:11:30.218448
3,97,2.6968674659729004,2,10,2025-12-19T15:11:30.220563
3,98,12.883604049682617,2,10,2025-12-19T15:11:30.220563
3,99,12.833653450012207,4,19,2025-12-19T15:11:30.223089
3,17,12.9833083152771,3,17,2025-12-19T15:11:30.224203
3,35,22.718676805496216,3,17,2025-12-19T15:11:30.225087
3,100,12.89648985862732,3,17,2025-12-19T15:11:30.226087
3,101,2.7472195625305176,2,11,2025-12-19T15:11:30.227087
3,102,22.915708780288696,3,17,2025-12-19T15:11:30.227087
3,103,22.886070728302002,3,16,2025-12-19T15:11:30.228600
3,104,12.888688325881958,2,10,2025-12-19T15:11:30.230609
3,105,2.7048521041870117,2,11,2025-12-19T15:11:30.230609
3,106,12.849485874176025,2,11,2025-12-19T15:11:30.232113
3,66,2.7923684120178223,3,16,2025-12-19T15:11:30.233124
3,71,22.78544020652771,3,17,2025-12-19T15:11:30.234141
3,107,5.9407899379730225,3,17,2025-12-19T15:11:30.235123
3,108,5.813091993331909,4,18,2025-12-19T15:11:30.236123
3,109,2.922666311264038,2,10,2025-12-19T15:11:30.237124
3,110,22.952818632125854,3,16,2025-12-19T15:11:30.238131
3,111,12.882301568984985,3,15,2025-12-19T15:11:30.239134
3,112,12.805969953536987,2,10,2025-12-19T15:11:30.240124
3,113,12.779284477233887,3,15,2025-12-19T15:11:30.241495
3,62,24.027160167694092,2,11,2025-12-19T15:11:30.242001
3,16,31.5674729347229,3,17,2025-12-19T15:11:30.243007
3,114,12.748573541641235,2,11,2025-12-19T15:11:30.244008
3,115,12.888476610183716,3,16,2025-12-19T15:11:30.245010
3,116,15.283720254898071,3,17,2025-12-19T15:11:30.245010
3,117,19.593345642089844,3,16,2025-12-19T15:11:30.246011
3,118,2.971879005432129,2,10,2025-12-19T15:11:30.247009
3,119,2.792560338973999,2,11,2025-12-19T15:11:30.247009
3,120,12.734073877334595,2,10,2025-12-19T15:11:30.248533
3,121,2.8698768615722656,3,16,2025-12-19T15:11:30.248533
3,122,12.780348300933838,2,10,2025-12-19T15:11:30.249548
3,87,12.910475254058838,3,16,2025-12-19T15:11:30.250545
3,86,15.579496622085571,3,17,2025-12-19T15:11:30.250545
3,123,2.776932716369629,4,19,2025-12-19T15:11:30.252054
3,124,17.165491342544556,3,16,2025-12-19T15:11:30.252054
3,125,22.790207147598267,2,10,2025-12-19T15:11:30.263840
3,126,15.257035255432129,3,16,2025-12-19T15:11:30.264841
3,127,5.291244983673096,4,18,2025-12-19T15:11:30.266754
3,128,27.143953800201416,2,9,2025-12-19T15:11:30.266754
3,129,11.434040784835815,3,17,2025-12-19T15:11:30.266754
3,130,26.369221687316895,4,17,2025-12-19T15:11:30.268260
4,96,2.835407018661499,3,18,2025-12-19T15:14:27.043291
4,98,15.620858669281006,2,10,2025-12-19T15:14:27.044509
4,131,19.69142484664917,2,10,2025-12-19T15:14:27.045019
4,132,22.73525905609131,3,17,2025-12-19T15:14:27.046033
4,133,12.787914514541626,2,9,2025-12-19T15:14:27.046033
4,134,12.740487575531006,3,17,2025-12-19T15:14:27.047551
4,135,12.776808023452759,4,21,2025-12-19T15:14:27.048564
4,136,12.738234758377075,3,17,2025-12-19T15:14:27.049562
4,137,2.7829792499542236,3,17,2025-12-19T15:14:27.049562
4,125,12.8480064868927,2,10,2025-12-19T15:14:27.049562
4,35,15.118669986724854,3,17,2025-12-19T15:14:27.051069
4,138,15.448939323425293,2,10,2025-12-19T15:14:27.052081
4,139,2.899078130722046,3,17,2025-12-19T15:14:27.052081
4,140,22.7509503364563,2,10,2025-12-19T15:14:27.053077
4,141,31.551258325576782,2,10,2025-12-19T15:14:27.053077
4,142,22.910034656524658,3,17,2025-12-19T15:14:27.054077
4,143,12.89992070198059,1,5,2025-12-19T15:14:27.054077
4,144,2.791029691696167,2,10,2025-12-19T15:14:27.056065
4,110,12.812522172927856,3,16,2025-12-19T15:14:27.056572
4,71,12.710017919540405,3,17,2025-12-19T15:14:27.057579
4,145,17.124873638153076,4,18,2025-12-19T15:14:27.057579
4,146,2.912761926651001,3,17,2025-12-19T15:14:27.058899
4,147,12.79526972770691,3,14,2025-12-19T15:14:27.058899
4,148,22.777968883514404,3,17,2025-12-19T15:14:27.059902
4,149,12.811676979064941,2,10,2025-12-19T15:14:27.059902
4,150,22.717187643051147,3,17,2025-12-19T15:14:27.061409
4,151,12.851987838745117,3,15,2025-12-19T15:14:27.061409
4,128,12.92595911026001,2,9,2025-12-19T15:14:27.062418
4,130,17.282758235931396,4,17,2025-12-19T15:14:27.063418
4,152,27.225284099578857,3,10,2025-12-19T15:14:27.063418
4,153,12.850738525390625,2,9,2025-12-19T15:14:27.064425
4,154,17.27361822128296,2,9,2025-12-19T15:14:27.064425
4,155,2.702610492706299,4,16,2025-12-19T15:14:27.065429
4,156,12.759631872177124,4,17,2025-12-19T15:14:27.066425
4,157,15.277925491333008,2,9,2025-12-19T15:14:27.066425
4,158,12.784358978271484,3,16,2025-12-19T15:14:27.067425
4,159,2.8515639305114746,3,10,2025-12-19T15:14:27.067425
4,160,12.874175310134888,2,11,2025-12-19T15:14:27.068818
4,161,12.81653118133545,1,3,2025-12-19T15:14:27.069830
4,162,12.79207444190979,2,8,2025-12-19T15:14:27.069830
4,16,2.793721914291382,3,17,2025-12-19T15:14:27.071337
4,62,22.871150970458984,2,11,2025-12-19T15:14:27.072574
4,163,12.811036109924316,2,11,2025-12-19T15:14:27.073582
4,164,5.173123359680176,3,17,2025-12-19T15:14:27.074589
4,165,12.825808763504028,3,16,2025-12-19T15:14:27.075588
4,166,27.28916096687317,2,10,2025-12-19T15:14:27.076582
4,167,17.151564836502075,2,11,2025-12-19T15:14:27.076582
4,168,5.14096474647522,3,15,2025-12-19T15:14:27.077589
4,169,1.4495632648468018,3,16,2025-12-19T15:14:27.077589
4,170,12.775336265563965,2,10,2025-12-19T15:14:27.078590
5,132,22.707107305526733,3,17,2025-12-19T15:17:29.488921
5,131,5.1762731075286865,2,10,2025-12-19T15:17:29.490440
5,171,2.855246067047119,3,17,2025-12-19T15:17:29.491462
5,172,12.775523662567139,3,12,2025-12-19T15:17:29.492461
5,173,12.804771900177002,3,16,2025-12-19T15:17:29.492461
5,174,22.848249912261963,2,10,2025-12-19T15:17:29.493474
5,175,12.88443636894226,3,16,2025-12-19T15:17:29.494476
5,176,2.6984524726867676,3,17,2025-12-19T15:17:29.494476
5,177,2.7378554344177246,4,18,2025-12-19T15:17:29.495476
5,178,12.694334268569946,3,16,2025-12-19T15:17:29.496474
5,148,12.777650117874146,3,17,2025-12-19T15:17:29.497484
5,150,27.7653329372406,3,17,2025-12-19T15:17:29.497484
5,179,12.69977617263794,3,16,2025-12-19T15:17:29.498483
5,180,22.69012475013733,2,11,2025-12-19T15:17:29.498483
5,181,12.716480731964111,3,16,2025-12-19T15:17:29.499480
5,182,15.775308847427368,2,11,2025-12-19T15:17:29.500482
5,183,2.903398275375366,3,17,2025-12-19T15:17:29.500988
5,184,22.763715744018555,2,10,2025-12-19T15:17:29.501996
5,185,12.748937606811523,3,17,2025-12-19T15:17:29.501996
5,186,23.005072593688965,4,19,2025-12-19T15:17:29.503007
5,152,15.140427827835083,3,10,2025-12-19T15:17:29.504008
5,130,2.9333174228668213,4,17,2025-12-19T15:17:29.504008
5,187,15.307836055755615,2,8,2025-12-19T15:17:29.505002
5,188,27.259795427322388,3,10,2025-12-19T15:17:29.505002
5,189,31.510925769805908,3,10,2025-12-19T15:17:29.505002
5,190,17.147888660430908,4,12,2025-12-19T15:17:29.506508
5,191,5.144583463668823,3,10,2025-12-19T15:17:29.507517
5,192,13.01012396812439,2,8,2025-12-19T15:17:29.507517
5,193,22.88531994819641,3,9,2025-12-19T15:17:29.508518
5,194,2.7737889289855957,4,16,2025-12-19T15:17:29.509518
5,166,12.776918411254883,2,10,2025-12-19T15:17:29.509518
5,62,2.8570408821105957,2,11,2025-12-19T15:17:29.510533
5,195,5.1680145263671875,2,6,2025-12-19T15:17:29.511608
5,196,3.0319862365722656,3,13,2025-12-19T15:17:29.512613
5,197,8.112271785736084,2,11,2025-12-19T15:17:29.513609
5,198,5.224067211151123,2,10,2025-12-19T15:17:29.513609
5,199,22.736548900604248,1,3,2025-12-19T15:17:29.514608
5,200,12.819020509719849,1,4,2025-12-19T15:17:29.514608
5,201,12.849210023880005,3,12,2025-12-19T15:17:29.515606
5,141,12.827329397201538,2,10,2025-12-19T15:17:29.516615
5,142,2.7472047805786133,3,17,2025-12-19T15:17:29.517616
5,202,12.8956778049469,4,19,2025-12-19T15:17:29.518616
5,203,12.849132776260376,2,9,2025-12-19T15:17:29.518616
5,204,12.778993844985962,3,16,2025-12-19T15:17:29.518616
5,205,12.822940349578857,3,17,2025-12-19T15:17:29.520122
5,206,17.154720783233643,3,11,2025-12-19T15:17:29.520122
5,207,31.588571310043335,2,10,2025-12-19T15:17:29.521130
5,208,12.748730182647705,2,10,2025-12-19T15:17:29.521130
5,209,15.785631656646729,2,10,2025-12-19T15:17:29.522130
5,210,12.90257453918457,2,9,2025-12-19T15:17:29.522130
6,199,12.734874248504639,1,3,2025-12-19T15:20:51.785997
6,201,2.9792120456695557,3,12,2025-12-19T15:20:51.788059
6,211,29.763153076171875,1,2,2025-12-19T15:20:51.788059
6,212,12.944287776947021,2,9,2025-12-19T15:20:51.790667
6,213,5.179363012313843,1,2,2025-12-19T15:20:51.791691
6,214,23.442891836166382,3,11,2025-12-19T15:20:51.792631
6,215,12.873822927474976,3,12,2025-12-19T15:20:51.793586
6,216,17.637444734573364,1,4,2025-12-19T15:20:51.794590
6,174,20.144126653671265,2,10,2025-12-19T15:20:51.796143
6,132,5.429334878921509,3,17,2025-12-19T15:20:51.797276
6,217,12.767858266830444,2,9,2025-12-19T15:20:51.798198
6,218,12.764118432998657,2,9,2025-12-19T15:20:51.799774
6,219,12.952686786651611,2,10,2025-12-19T15:20:51.799774
6,220,27.146135091781616,2,9,2025-12-19T15:20:51.801004
6,221,12.743869543075562,2,9,2025-12-19T15:20:51.802010
6,222,22.745774507522583,2,9,2025-12-19T15:20:51.803103
6,150,3.648700714111328,3,17,2025-12-19T15:20:51.804105
6,186,27.10593605041504,4,19,2025-12-19T15:20:51.805054
6,223,22.87328791618347,4,19,2025-12-19T15:20:51.805054
6,224,22.741450786590576,2,10,2025-12-19T15:20:51.806577
6,225,12.729734659194946,3,17,2025-12-19T15:20:51.807574
6,226,27.686450719833374,2,10,2025-12-19T15:20:51.807574
6,227,2.8063595294952393,3,17,2025-12-19T15:20:51.808539
6,228,12.832196712493896,4,18,2025-12-19T15:20:51.809541
6,229,2.848947763442993,3,17,2025-12-19T15:20:51.809541
6,230,15.248477697372437,4,18,2025-12-19T15:20:51.810657
6,231,12.780662775039673,4,19,2025-12-19T15:20:51.811659
6,189,22.757609128952026,3,10,2025-12-19T15:20:51.812659
6,188,29.629003524780273,3,10,2025-12-19T15:20:51.812659
6,232,15.130607604980469,4,11,2025-12-19T15:20:51.813663
6,233,15.258630514144897,3,8,2025-12-19T15:20:51.814656
6,234,12.913764238357544,3,10,2025-12-19T15:20:51.815657
6,235,22.782118797302246,2,4,2025-12-19T15:20:51.815657
6,236,17.245174169540405,3,10,2025-12-19T15:20:51.817057
6,237,2.8626673221588135,4,12,2025-12-19T15:20:51.818675
6,238,19.740474462509155,4,11,2025-12-19T15:20:51.818675
6,239,12.964954853057861,2,5,2025-12-19T15:20:51.819681
6,240,29.548810482025146,2,8,2025-12-19T15:20:51.820691
6,241,22.90852117538452,3,11,2025-12-19T15:20:51.821690
6,207,22.813817262649536,2,10,2025-12-19T15:20:51.821690
6,209,12.93017864227295,2,10,2025-12-19T15:20:51.822688
6,242,12.764032125473022,3,11,2025-12-19T15:20:51.823699
6,243,12.820306301116943,2,10,2025-12-19T15:20:51.823699
6,244,17.23067879676819,1,3,2025-12-19T15:20:51.824985
6,245,15.186887741088867,2,9,2025-12-19T15:20:51.824985
6,246,12.71360468864441,2,10,2025-12-19T15:20:51.826000
6,247,2.7982680797576904,2,9,2025-12-19T15:20:51.826000
6,248,12.817409753799438,2,9,2025-12-19T15:20:51.827006
6,249,1.4774329662322998,1,3,2025-12-19T15:20:51.827992
